Product;Color;Size;Ldate;Age Group;Person;Pname;Ptype;Tprice;Currency;Sales Season;Nstore
325187700_2;Other;No Size;36;29-38;Female;Socks;Tube Socks;0.0111731843575419;Y;Autumn;0.0012406947890818859
325187800_2;Other;No Size;36;29-38;Men;Socks;Tube Socks;0.0111731843575419;Y;Autumn;0.0015508684863523572
325188000_2;Other;No Size;1;29-38;Men;Socks;Stockings;0.030726256983240222;Y;Autumn;0.0
325188200_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.0012406947890818859
325188300_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.00031017369727047146
325188700_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.00031017369727047146
325188800_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.0006203473945409429
325188900_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.0
325189000_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.0
325189100_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.0009305210918114144
325189200_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.0006203473945409429
325189300_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.00031017369727047146
325189700_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.0006203473945409429
325189800_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.00031017369727047146
325190002_2;Other;No Size;34;29-38;Female;Socks;Stockings;0.05027932960893855;Y;Autumn;0.0
325190100_2;Other;No Size;41;29-38;Men;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.00031017369727047146
325190300_2;Other;No Size;41;29-38;Female;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.0024813895781637717
325190900_2;Other;No Size;41;29-38;Female;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.0
325191000_2;Other;No Size;41;29-38;Female;Socks;Wool Socks;0.013966480446927373;Y;Winter;0.0
