Product;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
325076900_2;4.0;6.0;2.0;2.0;3.0;4.0;4.0;1.0;1.0;5.0;6.0;4.0;3.0;1.0;1.0;4.0
325077300_2;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;5.0;4.0;7.0;6.0;2.0;3.0;3.0
325077400_2;1.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;3.0;2.0;1.0;2.0;4.0;3.0;1.0;0.0
325077500_2;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;2.0;3.0;5.0;6.0;5.0;2.0;1.0
325077600_2;1.0;2.0;1.0;0.0;3.0;3.0;2.0;3.0;1.0;0.0;1.0;6.0;9.0;6.0;4.0;2.0
325077700_2;3.0;5.0;6.0;8.0;5.0;4.0;6.0;5.0;4.0;4.0;7.0;11.0;16.0;11.0;3.0;9.0
325077800_2;1.0;2.0;2.0;1.0;0.0;1.0;3.0;3.0;2.0;3.0;2.0;0.0;0.0;1.0;7.0;13.0
325077900_2;1.0;2.0;6.0;5.0;0.0;1.0;6.0;6.0;4.0;7.0;7.0;4.0;1.0;0.0;3.0;6.0
325078000_2;1.0;1.0;0.0;0.0;0.0;0.0;2.0;3.0;4.0;6.0;4.0;1.0;3.0;5.0;5.0;5.0
325078400_2;1.0;1.0;1.0;1.0;0.0;1.0;2.0;8.0;9.0;3.0;2.0;2.0;4.0;7.0;8.0;8.0
325078700_2;1.0;2.0;2.0;2.0;1.0;1.0;2.0;6.0;5.0;3.0;6.0;5.0;2.0;1.0;4.0;4.0
325081600_2;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;4.0;4.0;4.0;4.0;2.0
325083200_2;4.0;6.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;10.0;17.0;34.0
325083400_2;1.0;3.0;8.0;15.0;10.0;1.0;0.0;0.0;0.0;1.0;3.0;3.0;3.0;3.0;3.0;2.0
325083700_2;2.0;3.0;1.0;2.0;2.0;2.0;3.0;4.0;3.0;3.0;6.0;3.0;0.0;1.0;2.0;1.0
325083900_2;1.0;1.0;12.0;12.0;1.0;14.0;16.0;11.0;17.0;12.0;5.0;2.0;0.0;0.0;0.0;0.0
325084100_2;1.0;2.0;4.0;6.0;10.0;7.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
325084200_2;1.0;1.0;12.0;18.0;7.0;3.0;8.0;19.0;18.0;12.0;9.0;12.0;15.0;91.0;88.0;5.0
325085100_2;3.0;3.0;0.0;3.0;3.0;3.0;5.0;7.0;6.0;6.0;5.0;2.0;2.0;3.0;8.0;8.0
325085200_2;4.0;6.0;4.0;8.0;7.0;2.0;9.0;13.0;13.0;12.0;9.0;12.0;13.0;6.0;4.0;7.0
325085300_2;1.0;1.0;1.0;1.0;0.0;0.0;1.0;4.0;4.0;4.0;3.0;6.0;10.0;6.0;2.0;0.0
325085900_2;9.0;9.0;0.0;1.0;4.0;6.0;4.0;4.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
325086100_2;1.0;13.0;14.0;6.0;16.0;18.0;11.0;8.0;15.0;17.0;8.0;4.0;1.0;0.0;0.0;2.0
325086200_2;1.0;1.0;0.0;0.0;0.0;1.0;3.0;2.0;6.0;12.0;12.0;6.0;2.0;5.0;3.0;0.0
325086400_2;3.0;4.0;3.0;4.0;4.0;4.0;3.0;2.0;9.0;15.0;8.0;3.0;2.0;0.0;0.0;0.0
325087200_2;10.0;10.0;4.0;11.0;11.0;10.0;9.0;15.0;15.0;10.0;8.0;1.0;6.0;6.0;2.0;2.0
325087400_2;2.0;2.0;0.0;1.0;1.0;2.0;2.0;2.0;4.0;6.0;5.0;1.0;0.0;1.0;4.0;3.0
325087600_2;16.0;18.0;4.0;3.0;2.0;3.0;4.0;5.0;3.0;0.0;2.0;2.0;0.0;0.0;3.0;3.0
325089501_2;1.0;2.0;3.0;2.0;0.0;1.0;1.0;3.0;6.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0
