;Product;Cluster;Centroid
535;333931551_2;11;331023400_2
536;333931552_2;11;331023400_2
537;334008400_2;5;335023300_2
538;334244402_2;8;332979754_2
539;334278503_2;11;331023400_2
540;334322904_2;9;331031900_2
541;334846500_2;9;331031900_2
542;334846600_2;9;331031900_2
543;334846900_2;11;331023400_2
544;334859700_2;2;347000500_2
545;334899401_2;9;331031900_2
546;335004401_2;1;331050500_2
547;335004901_2;10;337015200_2
548;335005001_2;10;337015200_2
549;335007200_2;9;331031900_2
550;335007300_2;4;335036700_2
551;335007400_2;9;331031900_2
552;335007500_2;5;335023300_2
553;335007600_2;5;335023300_2
554;335008101_2;8;332979754_2
555;335008200_2;4;335036700_2
556;335008400_2;4;335036700_2
557;335008500_2;4;335036700_2
558;335008900_2;5;335023300_2
559;335009300_2;9;331031900_2
560;335009700_2;3;31C999901_2
561;335010700_2;5;335023300_2
562;335010900_2;8;332979754_2
563;335011700_2;5;335023300_2
564;335012400_2;11;331023400_2
565;335012600_2;11;331023400_2
566;335012700_2;11;331023400_2
567;335012800_2;5;335023300_2
568;335013000_2;4;335036700_2
569;335013300_2;4;335036700_2
570;335013500_2;5;335023300_2
571;335013800_2;4;335036700_2
572;335013900_2;9;331031900_2
573;335014000_2;4;335036700_2
574;335014100_2;4;335036700_2
575;335014200_2;4;335036700_2
576;335014300_2;9;331031900_2
577;335014400_2;12;327032700_2
578;335014500_2;9;331031900_2
579;335014700_2;4;335036700_2
580;335014800_2;5;335023300_2
581;335015200_2;4;335036700_2
582;335015400_2;4;335036700_2
583;335015500_2;5;335023300_2
584;335016200_2;4;335036700_2
585;335016300_2;11;331023400_2
586;335016500_2;4;335036700_2
587;335016600_2;4;335036700_2
588;335016800_2;5;335023300_2
589;335016900_2;5;335023300_2
590;335017100_2;9;331031900_2
591;335017200_2;9;331031900_2
592;335017300_2;9;331031900_2
593;335018100_2;4;335036700_2
594;335018500_2;11;331023400_2
595;335019600_2;4;335036700_2
596;335019900_2;9;331031900_2
597;335020000_2;4;335036700_2
598;335020200_2;10;337015200_2
599;335020300_2;11;331023400_2
600;335020800_2;5;335023300_2
601;335020900_2;9;331031900_2
602;335021000_2;5;335023300_2
603;335021100_2;11;331023400_2
604;335021301_2;11;331023400_2
605;335021401_2;1;331050500_2
606;335021501_2;11;331023400_2
607;335021601_2;11;331023400_2
608;335021901_2;11;331023400_2
609;335022001_2;11;331023400_2
610;335022101_2;11;331023400_2
611;335022201_2;11;331023400_2
612;335022301_2;1;331050500_2
613;335022401_2;11;331023400_2
614;335022501_2;1;331050500_2
615;335022601_2;11;331023400_2
616;335022701_2;11;331023400_2
617;335022900_2;9;331031900_2
618;335023000_2;9;331031900_2
619;335023200_2;5;335023300_2
