Product;Cluster;Centroid
32B997322_2;11;337015200_2
32B997323_2;1;331995271_2
32B997324_2;1;331995271_2
32B997325_2;1;331995271_2
32B997326_2;1;331995271_2
32B997327_2;7;331051800_2
330005600_2;6;336011600_2
330005800_2;12;331023400_2
330006100_2;4;332037600_2
330014500_2;1;331995271_2
330017100_2;12;331023400_2
330017200_2;12;331023400_2
330017500_2;12;331023400_2
330017600_2;10;331031700_2
330017800_2;12;331023400_2
330017900_2;12;331023400_2
330018100_2;12;331023400_2
330018200_2;2;331039400_2
330018300_2;2;331039400_2
330018400_2;5;335023000_2
330018500_2;2;331039400_2
330018600_2;2;331039400_2
330018800_2;2;331039400_2
330018900_2;2;331039400_2
330020600_2;10;331031700_2
330020700_2;2;331039400_2
330020800_2;2;331039400_2
330122906_2;10;331031700_2
330753600_2;10;331031700_2
330753700_2;12;331023400_2
330754000_2;5;335023000_2
330754300_2;10;331031700_2
330773800_2;7;331051800_2
330799401_2;10;331031700_2
331015500_2;5;335023000_2
331015700_2;10;331031700_2
331015800_2;5;335023000_2
331015900_2;10;331031700_2
331017200_2;3;335015200_2
331017400_2;3;335015200_2
331017500_2;9;335025700_2
331018000_2;12;331023400_2
331018300_2;10;331031700_2
331018500_2;2;331039400_2
331020300_2;12;331023400_2
331020500_2;10;331031700_2
331020600_2;10;331031700_2
331020700_2;9;335025700_2
331020900_2;10;331031700_2
331021100_2;12;331023400_2
331021200_2;10;331031700_2
331021300_2;12;331023400_2
331023200_2;12;331023400_2
331023300_2;12;331023400_2
331023400_2;12;331023400_2
331023700_2;5;335023000_2
331023900_2;5;335023000_2
331024300_2;5;335023000_2
331025400_2;2;331039400_2
331025900_2;5;335023000_2
331026300_2;2;331039400_2
331026700_2;2;331039400_2
331027200_2;2;331039400_2
331027300_2;5;335023000_2
331027400_2;2;331039400_2
331027600_2;2;331039400_2
331027700_2;5;335023000_2
331027800_2;2;331039400_2
331027900_2;2;331039400_2
331028200_2;10;331031700_2
331028300_2;6;336011600_2
331028600_2;10;331031700_2
331029000_2;10;331031700_2
331029100_2;2;331039400_2
331029300_2;11;337015200_2
331030100_2;2;331039400_2
331030400_2;2;331039400_2
331030500_2;5;335023000_2
331030600_2;2;331039400_2
331030700_2;2;331039400_2
331031600_2;3;335015200_2
331031700_2;10;331031700_2
331031900_2;10;331031700_2
331032100_2;2;331039400_2
331032200_2;5;335023000_2
331032300_2;10;331031700_2
331032400_2;10;331031700_2
331032500_2;10;331031700_2
331032600_2;10;331031700_2
331033300_2;4;332037600_2
331033400_2;3;335015200_2
331033500_2;10;331031700_2
331033600_2;2;331039400_2
331039300_2;2;331039400_2
331039400_2;2;331039400_2
331039500_2;5;335023000_2
331043000_2;12;331023400_2
331043200_2;5;335023000_2
331043500_2;10;331031700_2
331043600_2;11;337015200_2
331043700_2;10;331031700_2
331043800_2;10;331031700_2
331043900_2;10;331031700_2
331044000_2;12;331023400_2
331044100_2;10;331031700_2
331044200_2;12;331023400_2
331046500_2;10;331031700_2
331046700_2;10;331031700_2
331046900_2;5;335023000_2
331049100_2;7;331051800_2
331049300_2;1;331995271_2
331049400_2;1;331995271_2
331049500_2;1;331995271_2
331049600_2;1;331995271_2
331049700_2;1;331995271_2
331049800_2;1;331995271_2
331049900_2;1;331995271_2
331050100_2;1;331995271_2
331050200_2;1;331995271_2
331050300_2;1;331995271_2
331050400_2;1;331995271_2
331050500_2;1;331995271_2
331050700_2;6;336011600_2
331050800_2;1;331995271_2
331050900_2;1;331995271_2
331051100_2;1;331995271_2
331051200_2;1;331995271_2
331051300_2;7;331051800_2
331051301_2;7;331051800_2
331051500_2;1;331995271_2
331051600_2;1;331995271_2
331051700_2;7;331051800_2
331051800_2;7;331051800_2
331051900_2;7;331051800_2
331052100_2;7;331051800_2
331052200_2;7;331051800_2
331052300_2;7;331051800_2
331052400_2;7;331051800_2
331052500_2;7;331051800_2
331052600_2;7;331051800_2
331052601_2;7;331051800_2
331052700_2;7;331051800_2
331052800_2;7;331051800_2
331052900_2;7;331051800_2
331053000_2;1;331995271_2
331053100_2;1;331995271_2
331053200_2;1;331995271_2
331053400_2;7;331051800_2
331053500_2;11;337015200_2
331053600_2;1;331995271_2
331053700_2;11;337015200_2
331053800_2;6;336011600_2
331053900_2;1;331995271_2
331054000_2;1;331995271_2
331054100_2;11;337015200_2
331054600_2;1;331995271_2
331057200_2;4;332037600_2
331057300_2;6;336011600_2
331057400_2;7;331051800_2
331057500_2;9;335025700_2
331057600_2;7;331051800_2
331057700_2;6;336011600_2
331057800_2;7;331051800_2
331058500_2;1;331995271_2
331058600_2;1;331995271_2
331058700_2;11;337015200_2
331122900_2;8;331995287_2
331122901_2;1;331995271_2
331145300_2;2;331039400_2
331440900_2;2;331039400_2
331520900_2;10;331031700_2
331700300_2;3;335015200_2
331753900_2;1;331995271_2
331754100_2;1;331995271_2
331783500_2;1;331995271_2
331783600_2;1;331995271_2
331783700_2;1;331995271_2
331783800_2;1;331995271_2
331799401_2;7;331051800_2
331800103_2;2;331039400_2
331900303_2;3;335015200_2
331900500_2;3;335015200_2
331995267_2;7;331051800_2
331995268_2;7;331051800_2
331995269_2;1;331995271_2
331995270_2;7;331051800_2
331995271_2;1;331995271_2
331995272_2;1;331995271_2
331995273_2;1;331995271_2
331995274_2;1;331995271_2
331995277_2;1;331995271_2
331995278_2;1;331995271_2
331995281_2;1;331995271_2
331995282_2;1;331995271_2
331995283_2;1;331995271_2
331995284_2;1;331995271_2
331995285_2;1;331995271_2
331995286_2;1;331995271_2
331995287_2;8;331995287_2
331995288_2;7;331051800_2
331995289_2;7;331051800_2
331995290_2;7;331051800_2
331995291_2;8;331995287_2
331995292_2;8;331995287_2
331995293_2;7;331051800_2
331995294_2;1;331995271_2
331995295_2;1;331995271_2
331995296_2;1;331995271_2
331995297_2;1;331995271_2
332018100_2;6;336011600_2
332018200_2;3;335015200_2
332018300_2;2;331039400_2
332018400_2;10;331031700_2
332025300_2;11;337015200_2
332025400_2;6;336011600_2
332025500_2;6;336011600_2
332025600_2;7;331051800_2
332025700_2;1;331995271_2
332025800_2;1;331995271_2
332025900_2;1;331995271_2
332036100_2;3;335015200_2
332036200_2;3;335015200_2
332036300_2;3;335015200_2
332037300_2;4;332037600_2
332037400_2;4;332037600_2
332037500_2;4;332037600_2
332037600_2;4;332037600_2
332037900_2;5;335023000_2
332038100_2;4;332037600_2
332038200_2;8;331995287_2
332979747_2;3;335015200_2
332979750_2;1;331995271_2
332979751_2;6;336011600_2
332979752_2;6;336011600_2
332979753_2;6;336011600_2
332979754_2;4;332037600_2
332979755_2;4;332037600_2
333931547_2;6;336011600_2
333931548_2;9;335025700_2
333931549_2;6;336011600_2
333931550_2;6;336011600_2
333931551_2;6;336011600_2
333931552_2;6;336011600_2
334008400_2;2;331039400_2
334244402_2;4;332037600_2
334278503_2;10;331031700_2
334322904_2;10;331031700_2
334846500_2;10;331031700_2
334846600_2;10;331031700_2
334846900_2;10;331031700_2
334859700_2;7;331051800_2
334899401_2;10;331031700_2
335004401_2;1;331995271_2
335004901_2;6;336011600_2
335005001_2;11;337015200_2
335007200_2;5;335023000_2
335007300_2;2;331039400_2
335007400_2;5;335023000_2
335007500_2;2;331039400_2
335007600_2;2;331039400_2
335008101_2;4;332037600_2
335008200_2;2;331039400_2
335008400_2;2;331039400_2
335008500_2;2;331039400_2
335008900_2;5;335023000_2
335009300_2;10;331031700_2
335009700_2;3;335015200_2
335010700_2;2;331039400_2
335010900_2;4;332037600_2
335011700_2;2;331039400_2
335012400_2;9;335025700_2
335012600_2;9;335025700_2
335012700_2;9;335025700_2
335012800_2;2;331039400_2
335013000_2;2;331039400_2
335013300_2;3;335015200_2
335013500_2;5;335023000_2
335013800_2;2;331039400_2
335013900_2;5;335023000_2
335014000_2;5;335023000_2
335014100_2;2;331039400_2
335014200_2;5;335023000_2
335014300_2;5;335023000_2
335014400_2;6;336011600_2
335014500_2;5;335023000_2
335014700_2;2;331039400_2
335014800_2;2;331039400_2
335015200_2;3;335015200_2
335015400_2;2;331039400_2
335015500_2;2;331039400_2
335016200_2;2;331039400_2
335016300_2;9;335025700_2
335016500_2;2;331039400_2
335016600_2;2;331039400_2
335016800_2;2;331039400_2
335016900_2;2;331039400_2
335017100_2;10;331031700_2
335017200_2;5;335023000_2
335017300_2;2;331039400_2
335018100_2;3;335015200_2
335018500_2;12;331023400_2
335019600_2;2;331039400_2
335019900_2;5;335023000_2
335020000_2;2;331039400_2
335020200_2;6;336011600_2
335020300_2;10;331031700_2
335020800_2;2;331039400_2
335020900_2;5;335023000_2
335021000_2;2;331039400_2
335021100_2;6;336011600_2
335021301_2;8;331995287_2
335021401_2;8;331995287_2
335021501_2;8;331995287_2
335021601_2;8;331995287_2
335021901_2;8;331995287_2
335022001_2;12;331023400_2
335022101_2;12;331023400_2
335022201_2;8;331995287_2
335022301_2;8;331995287_2
335022401_2;8;331995287_2
335022501_2;8;331995287_2
335022601_2;12;331023400_2
335022701_2;12;331023400_2
335022900_2;9;335025700_2
335023000_2;5;335023000_2
335023200_2;2;331039400_2
335023300_2;2;331039400_2
335025200_2;12;331023400_2
335025300_2;6;336011600_2
335025400_2;12;331023400_2
335025600_2;12;331023400_2
335025700_2;9;335025700_2
335025800_2;9;335025700_2
335026000_2;5;335023000_2
335026100_2;9;335025700_2
335026200_2;12;331023400_2
335027400_2;2;331039400_2
335027500_2;2;331039400_2
335029700_2;3;335015200_2
335029800_2;3;335015200_2
335030700_2;3;335015200_2
335030900_2;2;331039400_2
335031000_2;2;331039400_2
335031100_2;2;331039400_2
335031200_2;3;335015200_2
335031900_2;3;335015200_2
335032100_2;2;331039400_2
335035300_2;2;331039400_2
335035500_2;9;335025700_2
335035600_2;5;335023000_2
335035700_2;2;331039400_2
335035800_2;9;335025700_2
335035900_2;2;331039400_2
335036100_2;5;335023000_2
335036300_2;5;335023000_2
335036400_2;2;331039400_2
335036500_2;5;335023000_2
335036700_2;2;331039400_2
335036800_2;2;331039400_2
335036900_2;3;335015200_2
335040501_2;10;331031700_2
335040601_2;11;337015200_2
335040701_2;1;331995271_2
335040801_2;11;337015200_2
